"STATUS";"Order";"Art No";"Description";"Rcv";"Rcv Type";"RcvCty";"SL";"Act Order";"Plan Date";"TotOrd";"TotBal";"TotDsp";"TotBook";"Orig Date";"L";"T";"Rcvd Date";"Tot Csm Qty";"Order2";"Transit";"EndRcv";"EndRcvType";"EndRcvCty";"ITMOrdPlan";"LatestStockAvailDate";"StockAvailDate";"VmrOrdRefNo";"DelInd";"OrdSrc"
New;7500000171;50403669;;390;DT;GB;9;N;05-Sep-2025;6;6;0;0;05-Sep-2025;1;ZNB;09-Dec-2025;0;;N;390;DT;GB;N;;;;;BTPx
New;7500000173;50403669;;390;DT;GB;9;N;10-Dec-2025;18;18;0;0;10-Dec-2025;1;ZNB;09-Dec-2025;0;;N;390;DT;GB;N;;;;;BTPx
New;7500000175;50403669;;390;DT;GB;9;N;10-Dec-2025;24;24;0;0;10-Dec-2025;1;ZNB;10-Dec-2025;0;;N;390;DT;GB;N;;;;;BTPx
New;7500000258;40445797;CACTACEAE pttd plnt w pot 6 Cactus/assorted 3-p NA;004;STO;CA;9;N;13-Jan-2026;48;48;0;0;13-Jan-2026;2;ZNB;12-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000134;20347547;;404;STO;NL;9;N;25-Nov-2025;12;12;0;0;25-Nov-2025;1;ZNB;09-Feb-2026;0;;N;404;STO;NL;N;;;;S;ISOM
New;7600000134;60347550;;404;STO;NL;9;N;28-Jul-2025;12;12;0;0;28-Jul-2025;1;ZNB;09-Feb-2026;0;;N;404;STO;NL;N;;;;S;ISOM
New;7600000142;20347547;;404;STO;NL;9;N;25-Nov-2025;12;12;0;0;25-Nov-2025;1;ZVMR;11-Feb-2026;0;;N;404;STO;NL;;;;;;
New;7600000142;60347550;;404;STO;NL;9;N;28-Jul-2025;12;12;0;0;28-Jul-2025;1;ZVMR;11-Feb-2026;0;;N;404;STO;NL;;;;;;
New;7600000161;40445797;CACTACEAE pttd plnt w pot 6 Cactus/assorted 3-p NA;004;STO;CA;9;N;13-Jan-2026;48;48;0;0;13-Jan-2026;2;ZNB;12-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000162;40445797;CACTACEAE pttd plnt w pot 6 Cactus/assorted 3-p NA;004;STO;CA;9;N;13-Jan-2026;24;24;0;0;13-Jan-2026;1;ZNB;12-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000165;40445797;CACTACEAE pttd plnt w pot 6 Cactus/assorted 3-p NA;004;STO;CA;9;N;13-Jan-2026;24;24;0;0;13-Jan-2026;1;ZNB;12-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000284;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;13-Jan-2026;24;24;0;0;13-Jan-2026;1;ZNB;19-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000285;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;13-Jan-2026;4;4;0;0;13-Jan-2026;1;ZNB;19-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000288;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;13-Jan-2026;48;48;0;0;13-Jan-2026;2;ZNB;19-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000297;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;13-Jan-2026;24;24;0;0;13-Jan-2026;1;ZNB;23-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000298;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;13-Jan-2026;48;48;0;0;13-Jan-2026;2;ZNB;23-Feb-2026;0;;N;004;STO;CA;N;;;;S;01
New;7600000304;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;12-Mar-2026;24;24;0;0;12-Mar-2026;1;ZNB;12-Mar-2026;0;;N;004;STO;CA;N;;;;;01
New;7600000313;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;12-Mar-2026;48;48;0;0;12-Mar-2026;2;ZNB;12-Mar-2026;0;;N;004;STO;CA;N;;;;;01
Pending;01591145311;60452659;FICUS pttd plnt w pot 14 bonsai/asst col CA;004;STO;CA;3;N;30-Mar-2026;12;0;0;12;24-Mar-2025;2;E;;12;;N;004;STO;CA;N;;;;;
Pending;2300000002;00197228;PACHIRA AQUATICA N 10" Guinea chestnut NA;004;STO;CA;9;N;22-Jul-2025;4;4;0;0;22-Jul-2025;1;ZVMR;23-Jul-2025;0;;N;004;STO;CA;N;;;232310000202;;DSP
